ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval+Stemming,TASK2,219,0.094,0.16667,0.1202,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,220,0.10789,0.33004,0.16262,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,221,0.04461,0.21429,0.07385,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,222,0.12632,0.13919,0.13244,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,223,0.06393,0.23684,0.10068,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,224,0.12725,0.20014,0.15558,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,225,0.00538,0.03333,0.00926,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,226,0.14904,0.14343,0.14618,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,227,0.02562,0.09259,0.04014,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,228,0.05855,0.23203,0.09351,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,229,0.10349,0.46667,0.16941,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,230,0.11425,0.22549,0.15165,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,231,0.05411,0.1746,0.08262,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,232,0.04143,0.26667,0.07171,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,233,0.05949,0.16667,0.08768,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,234,0.01487,0.09697,0.02579,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,235,0.13356,0.11633,0.12435,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,236,0.02914,0.4,0.05432,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,237,0.07501,0.3125,0.12098,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,238,0.13005,0.15205,0.14019,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,239,0.10826,0.06645,0.08235,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,240,0.05383,0.1746,0.08229,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,241,0.08955,0.28066,0.13578,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,242,0.12819,0.17565,0.14821,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,243,0.01932,0.16667,0.03462,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,244,0.09367,0.18627,0.12466,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,245,0.13833,0.09848,0.11505,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,246,0.06332,0.16667,0.09178,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,247,0.04494,0.27273,0.07716,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,248,0.04999,0.33333,0.08694,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,249,0.09905,0.30303,0.1493,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,250,0.12847,0.29885,0.17969,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,251,0.01964,0.11111,0.03338,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,252,0.19398,0.21398,0.20349,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,253,0.14399,0.1656,0.15404,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,254,0.11902,0.09898,0.10808,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,255,0.1056,0.18519,0.1345,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,256,0.10056,0.28788,0.14905,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,257,0.14737,0.19444,0.16766,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,258,0.02125,0.07843,0.03344,3
ROUGE-1+StopWordRemoval+Stemming,TASK3,259,0.07881,0.33333,0.12749,3
